,% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate
0,55.2,16.980000000000015,3162.6695114285703,578.5631714285712,398.7587599999999,10.113746857142855,1.7292126857142853,251.1559542857143,250.21490285714282,250.16762857142848,295.0959999999995,306.4000000000009,251.22827428571435,250.20570285714285,450.4535885714287,447.13088571428597,450.42423428571436,449.8192114285711,455.7503600000001,464.4774971428573,450.75474285714284,66.91085714285703,1.3088571428571447
1,55.2,16.980000000000015,3127.19302857143,536.4896914285714,399.8490228571429,10.130541142857142,1.6669309714285712,249.90849142857132,250.29467428571428,250.04919428571435,295.0959999999995,306.4000000000009,249.90193714285715,249.901097142857,449.2728400000001,450.1481142857144,450.19253714285713,450.6982399999998,448.3031542857144,455.0552285714287,450.21973714285735,67.05999999999997,1.1100000000000043
2,55.2,16.980000000000015,3483.646342857142,591.5258857142857,398.85414857142854,10.054116285714288,1.732306685714286,250.30949142857133,250.13022857142866,250.06737142857148,295.0959999999995,306.4000000000009,250.30549714285735,250.52976571428547,450.0750857142857,450.10668571428596,451.1750914285716,450.8457942857144,451.1743828571431,459.9297314285714,451.4517085714284,66.972057142857,1.2663428571428605
3,55.2,16.980000000000015,3238.9557625714283,591.2565599999997,399.75113714285726,9.926458114285724,1.7290621714285723,250.09023999999977,250.05245142857137,250.07030857142846,295.0959999999995,306.4000000000009,249.76322857142858,250.13386285714276,481.09817142857116,485.1378171428568,479.8232914285715,487.8555485714285,488.36512571428545,496.7937142857143,488.01703428571426,66.76131428571428,1.3553714285714347
4,55.2,16.980000000000015,3325.467045714285,619.1299942857141,399.74750857142874,9.755746914285714,1.764703371428575,249.97984000000014,250.10315999999995,250.08079428571438,295.0959999999995,306.4000000000009,250.24303428571423,250.06142285714284,549.1526742857143,549.9287085714286,549.6642114285711,549.562657142857,550.37952,560.0323542857142,550.7078914285713,66.63959999999983,1.341600000000003
5,55.2,16.980000000000015,3367.3297142857155,621.61372,399.3662628571429,9.851471600000004,1.7650003999999964,249.8614171428571,250.3813657142858,250.01971999999992,295.0959999999995,306.4000000000009,249.9309257142857,250.14935428571417,550.1664914285715,550.1846857142857,549.0138114285716,550.096571428571,549.4555200000004,561.1292799999999,551.0523542857147,66.8261142857145,1.1706285714285751
6,54.98428571428571,17.342400000000055,2881.317754285715,619.7483028571426,400.4804457142857,10.158083428571429,1.7664083428571455,249.93966857142843,250.22151999999988,250.0906285714283,295.0959999999995,306.4000000000009,250.07661714285695,250.07645142857118,550.1155200000006,550.64436,551.0219142857144,550.5503942857147,549.2909714285715,567.7581714285714,550.5066914285712,65.90948571428589,2.5391999999999944
7,54.95,17.400000000000055,3413.3811999999984,600.3840857142858,400.2524057142859,10.19623314285714,1.7652532,250.38132571428565,250.18713714285698,250.02573142857145,295.0959999999995,306.4000000000009,250.1091085714287,250.00506857142867,549.6217371428571,550.3536057142852,549.6432971428571,549.9156628571429,548.4447142857143,569.2294285714287,549.5337828571429,65.86845714285707,2.668228571428563
8,54.95,17.400000000000055,3659.149330285714,590.8540114285713,400.4647200000001,9.983961314285715,1.7613810285714242,249.9107999999999,249.8557828571429,249.99630857142853,295.0959999999995,306.4000000000009,250.06695999999997,250.0936514285713,550.3063714285714,549.4126514285714,549.7682685714282,550.467,550.8098285714286,564.9586000000002,551.7279714285715,66.52651428571446,1.9087428571428582
9,54.95,17.400000000000055,3325.559325714285,587.7859085714288,399.66963428571427,10.031834800000002,1.7599999999999958,250.18511428571432,250.03541714285709,250.04569714285708,295.0959999999995,306.4000000000009,250.13974857142847,249.99831428571412,550.4751542857139,548.950302857143,549.6580799999999,550.2188514285717,547.4431257142859,555.8900685714286,547.7487142857143,66.55565714285743,1.7921714285714299
